wavelength,abs1,abs2,abs3,abs4,abs5,abs6,abs7,abs8,abs9,abs10,abs11,abs12,abs13,abs14,abs15,abs16,abs17,abs18,abs19,abs20,abs21,abs22,abs23,abs24,abs25,abs26,abs27,abs28,abs29,abs30,abs31,abs32,abs33,abs34,abs35,abs36,abs37,abs38,abs39,abs40,abs41,abs42,abs43,abs44,abs45,abs46,abs47,abs48,abs49,abs50,abs51,abs52,abs53,abs54,abs55,abs56,abs57,abs58,abs59,abs60,abs61,abs62,abs63,abs64
450,0.005899177,0.007138162,0.00400203,0.004420039,0.005962377,0.005210826,0.004683266,0.006251172,0.003950119,0.003223388,0.004824927,0.002202256,0.005694829,0.003158098,0.005164392,0.004903993,0.002378278,0.004172966,0.005021372,0.005355574,0.002983832,0.006235934,0.004122281,0.00629814,0.005278716,0.004560781,0.004881728,0.003559321,0.004977871,0.004761475,0.003772214,0.006520316,0.00385877,0.005099017,0.002245893,0.005178967,0.004432302,0.004375352,0.005354116,0.004159463,0.005461407,0.003758931,0.003804385,0.003953441,0.004875486,0.005454114,0.005290588,0.00649024,0.005019082,0.0049581,0.00659635,0.004416505,0.003385931,0.007179369,0.005643757,0.005545383,0.005869144,0.005125874,0.003603302,0.006105916,0.005246436,0.005369323,0.005028033,0.003340521
450.9,0.005015251,0.006638985,0.004086416,0.004432089,0.004831462,0.005509582,0.005997754,0.006621102,0.003327821,0.004418483,0.005317823,0.003124292,0.0057873,0.004369295,0.004900819,0.004672255,0.00374478,0.004195822,0.004895161,0.006315097,0.002898121,0.005110424,0.004953001,0.007110525,0.005296848,0.005584295,0.004394412,0.004355691,0.004775942,0.004553935,0.00344539,0.006353783,0.005613889,0.006409294,0.003920373,0.005523642,0.005148373,0.003805602,0.004810929,0.004437532,0.005044597,0.0036451,0.004602935,0.004744938,0.004744101,0.005998384,0.005052982,0.005160325,0.005597518,0.004722525,0.006047757,0.004545769,0.004193311,0.00695406,0.00644189,0.005120697,0.005937674,0.00561284,0.003012444,0.006184559,0.004568593,0.006341588,0.005006657,0.002727319
451.8,0.005895373,0.005796364,0.003545567,0.004213596,0.005506871,0.004209592,0.006179409,0.006053454,0.00359818,0.004756653,0.004236148,0.003767638,0.005776904,0.003927052,0.004626468,0.003772691,0.004343025,0.004582801,0.00455327,0.00674931,0.001817298,0.004748845,0.004615709,0.006723871,0.004261442,0.005855809,0.004116655,0.004495057,0.005383224,0.004547153,0.003081373,0.005289825,0.005940654,0.006276388,0.004250271,0.005342228,0.00516286,0.003141079,0.004700523,0.005067186,0.003641538,0.005120195,0.00302567,0.004752221,0.006053242,0.00527905,0.00361628,0.00553837,0.005754906,0.003793746,0.005561203,0.003329919,0.004023739,0.005317927,0.005454449,0.004514461,0.005623787,0.00605811,0.003351794,0.007716888,0.003697952,0.004990324,0.004163648,0.003089572
452.7,0.005082227,0.007123756,0.005367702,0.004937013,0.006099025,0.003381979,0.006332993,0.005300352,0.004881402,0.004757685,0.00445904,0.004195352,0.003971003,0.004903051,0.003559047,0.005112592,0.005101338,0.005232375,0.005508597,0.006867826,0.00287846,0.004635275,0.005375989,0.005896666,0.004454799,0.005935173,0.0041481,0.005161011,0.005187984,0.00432654,0.004534106,0.006519151,0.006838404,0.006260171,0.005317985,0.003743172,0.005110893,0.004068651,0.004001715,0.005235561,0.004666245,0.005684195,0.002996149,0.006769333,0.005742247,0.004786118,0.003276872,0.00575203,0.005816685,0.004764475,0.006481658,0.004114836,0.005765428,0.005139349,0.004092802,0.004128395,0.005918791,0.006760593,0.004849356,0.007196083,0.005300564,0.004746439,0.004110598,0.003677979
453.6,0.004812072,0.006251293,0.004915386,0.005263934,0.006386438,0.003319959,0.004705795,0.00483491,0.006204612,0.003978558,0.004492679,0.002563823,0.004573092,0.005063143,0.002957878,0.005359449,0.004464314,0.006207396,0.004860524,0.005985837,0.004606157,0.004657146,0.004667601,0.004034161,0.005722896,0.003846929,0.004623437,0.004460262,0.005008049,0.005465245,0.004734602,0.004410148,0.006710229,0.005568287,0.004553893,0.004407589,0.003860132,0.005218,0.004881444,0.006296265,0.005521252,0.005652321,0.003033969,0.006439351,0.005993114,0.003338677,0.002840155,0.00643121,0.005618748,0.004100426,0.00537163,0.004027131,0.005763964,0.004950613,0.00367702,0.0045524,0.006629205,0.006644851,0.004398847,0.007078457,0.005715411,0.004542802,0.003413983,0.004269435
454.5,0.005194286,0.008160413,0.003772266,0.004670023,0.006764637,0.004888961,0.003977268,0.005513573,0.006620547,0.004244685,0.005401034,0.002933369,0.004602284,0.005111872,0.003137334,0.005353793,0.005896726,0.005724126,0.005921881,0.00420635,0.006629376,0.006159951,0.004881668,0.004497695,0.006773254,0.004720834,0.004961679,0.004690389,0.004777655,0.00703507,0.005820842,0.00485443,0.006771315,0.006329066,0.004754497,0.003930609,0.003479484,0.005709943,0.005058011,0.005130328,0.005692536,0.005025397,0.004862151,0.00550133,0.004843706,0.00402072,0.004722335,0.005931556,0.006100152,0.005160589,0.006561546,0.005181193,0.005751634,0.005359376,0.004545485,0.004500052,0.007077751,0.005582743,0.004538627,0.005836749,0.007179514,0.004580421,0.00408794,0.005262118
455.4,0.006202411,0.006196354,0.003112181,0.0056265,0.004251859,0.00598549,0.004057866,0.006177967,0.005479187,0.004865629,0.005792234,0.003373232,0.005476163,0.00680768,0.004086282,0.005334297,0.006234861,0.006009275,0.005879556,0.004240876,0.007783384,0.005518062,0.005412026,0.003784571,0.006523341,0.004603033,0.006240486,0.004947588,0.004905959,0.00669115,0.005704498,0.004957294,0.006859241,0.005320696,0.004787782,0.004170247,0.004284595,0.004471148,0.006190513,0.004006207,0.006587642,0.004637519,0.005923872,0.004533422,0.005503375,0.003404612,0.005960193,0.005245574,0.006586776,0.003288131,0.005186867,0.004979513,0.005319617,0.003508654,0.00703715,0.005455215,0.008191969,0.00511112,0.005191831,0.00418898,0.006048414,0.004983611,0.0047466,0.006513166
456.3,0.006856106,0.006306178,0.002990952,0.004943934,0.003422438,0.006194233,0.005135987,0.005583935,0.005411859,0.005302747,0.004429971,0.005174364,0.00478446,0.006663726,0.003757519,0.004741785,0.005410992,0.004686335,0.005818396,0.004739402,0.007111946,0.005915475,0.005205589,0.004431919,0.005930462,0.005550512,0.005165041,0.004773845,0.005252214,0.005651438,0.005937847,0.006280961,0.005950228,0.005773448,0.00644055,0.003928291,0.005112789,0.004269388,0.00636988,0.003759248,0.005855965,0.004843606,0.006088836,0.005064011,0.005401446,0.005288433,0.006790809,0.004185224,0.005907221,0.004984462,0.005921122,0.005664679,0.006567786,0.003078337,0.007591372,0.005882678,0.006167936,0.005172196,0.006112956,0.004033598,0.005362832,0.005733932,0.004485388,0.00632444
457.2,0.005800744,0.004844138,0.003959171,0.003657633,0.002262814,0.005490292,0.005836101,0.006217138,0.004435367,0.005188125,0.004811692,0.005595424,0.005586916,0.006643115,0.004422314,0.005155872,0.003743207,0.004560047,0.005222125,0.005641891,0.006328127,0.004774894,0.004398166,0.003969603,0.005195099,0.005284464,0.004501076,0.005659126,0.006057913,0.004971767,0.006311083,0.007444182,0.004509344,0.005399358,0.006060534,0.004033067,0.005908789,0.005639491,0.006785054,0.005016206,0.006407891,0.00484,0.005088103,0.005392817,0.007433229,0.006094384,0.006102027,0.004404475,0.005716946,0.004024156,0.004332256,0.005634691,0.007641173,0.004247218,0.007404532,0.006010965,0.005476989,0.005663053,0.007090961,0.003886809,0.00560175,0.006202065,0.004197204,0.004640358
458.1,0.00566305,0.004457235,0.005068043,0.004121568,0.003346115,0.005005216,0.006167999,0.006353499,0.005135915,0.005279795,0.003974578,0.007310137,0.005522769,0.005000619,0.005613508,0.004547095,0.003701041,0.004906725,0.003957982,0.006574227,0.005258768,0.004492652,0.002518282,0.004759031,0.005492746,0.004951809,0.004375042,0.005100226,0.006509644,0.005290089,0.005728165,0.005429857,0.003946408,0.005216061,0.005853818,0.004031577,0.005263149,0.00745584,0.006480431,0.006115327,0.00488331,0.005210148,0.00492095,0.005257673,0.007395308,0.00637941,0.005535918,0.003260862,0.005359749,0.00459083,0.005334337,0.005377932,0.007595426,0.006015926,0.006618825,0.006001446,0.004322587,0.006029091,0.006062881,0.006297292,0.005932342,0.006298829,0.003711735,0.003567064
459,0.005914156,0.004438007,0.005818058,0.00473776,0.004875619,0.005688712,0.006342447,0.00708999,0.00541054,0.00532622,0.004945995,0.00692911,0.006505317,0.005415384,0.006080394,0.003808189,0.004626537,0.006047979,0.004410547,0.006309351,0.004434272,0.004838456,0.002905339,0.005907984,0.00581343,0.005952293,0.006394082,0.006578386,0.00624449,0.005688933,0.00537157,0.005067639,0.003893969,0.003947947,0.003664966,0.004155145,0.00589542,0.008155335,0.006979047,0.005769136,0.005011322,0.005762746,0.004824824,0.005590241,0.007425865,0.004814489,0.004967329,0.003766292,0.004706984,0.004756886,0.005099321,0.003982839,0.006526288,0.006388124,0.007582725,0.005267228,0.005732558,0.006013142,0.006483907,0.006481258,0.005810125,0.006345978,0.005116703,0.004386164
459.9,0.006526728,0.004104808,0.006487686,0.005980462,0.004548671,0.006144669,0.004928444,0.005703823,0.005838244,0.004930433,0.003935197,0.007072571,0.004799827,0.005073017,0.004917835,0.003860227,0.004744592,0.006399633,0.004770441,0.004140107,0.002942236,0.003792104,0.004274928,0.004926234,0.005207244,0.00543953,0.005488879,0.005740137,0.004609404,0.004799386,0.00538731,0.005347264,0.003404292,0.003837518,0.003421032,0.005437538,0.005594898,0.006030316,0.006181906,0.004597035,0.003762565,0.004166803,0.005802365,0.005886088,0.005694744,0.003587358,0.005427802,0.003553647,0.004401402,0.005999738,0.00564028,0.0043226,0.005462101,0.005190878,0.007903195,0.006070646,0.00523666,0.005580289,0.005782655,0.006826535,0.004823692,0.005936596,0.005042728,0.00402628
460.8,0.005959405,0.004949133,0.005084943,0.004958896,0.003268562,0.006960665,0.004029317,0.004535529,0.006443159,0.004589619,0.005106917,0.006640242,0.005137326,0.006265527,0.003677864,0.003958694,0.004141807,0.00675341,0.00501903,0.001787822,0.003483447,0.003801769,0.004964887,0.004164397,0.005479966,0.006122451,0.004879026,0.005006603,0.003528339,0.005847778,0.004475683,0.006087523,0.003797344,0.003984595,0.003969098,0.007095991,0.005460418,0.005279634,0.006530221,0.003648662,0.003776543,0.003872367,0.005606387,0.006264192,0.004575209,0.005351583,0.005115129,0.004847082,0.004493193,0.007345573,0.004485214,0.005465749,0.006345431,0.00509937,0.006813125,0.004419392,0.00530517,0.004389697,0.00516463,0.005139768,0.00505476,0.006755861,0.006021458,0.006118669
